id,text,source
e01,Apple beats earnings expectations as iPhone sales surge,replay
e02,Tesla shares plunge after disappointing delivery numbers,replay
e03,Microsoft raises guidance on strong cloud growth,replay
e04,Nvidia tumbles as AI chip demand fears mount,replay
e05,Amazon profits jump on advertising rally,replay
e06,Boeing recall triggers safety probe into 737 fleet,replay
e07,Meta rallies after analysts upgrade the stock,replay
e08,Intel cuts dividend amid mounting losses,replay
e09,Ford reports record quarterly profit,replay
e10,Netflix subscriber growth slows but stays positive,replay
e11,Disney warns of weak streaming outlook,replay
e12,JPMorgan tops estimates as trading revenue soars,replay
e13,Pfizer drug wins FDA approval,replay
e14,Starbucks same-store sales fall in key China market,replay
e15,Uber posts first annual profit,replay
e16,Coinbase sinks as crypto volumes drop,replay
e17,Oracle gains on cloud backlog expansion,replay
e18,Salesforce slashes full-year forecast,replay
e19,Broadcom beats on AI networking demand,replay
e20,Qualcomm shares slump on weak handset guidance,replay
e21,Micron rebound continues as memory prices rise,replay
e22,Palantir wins major government contract,replay
e23,PayPal layoffs signal cost-cutting push,replay
e24,AMD outperforms as data center revenue strong,replay
e25,Walmart holds guidance steady ahead of holidays,replay
e26,Goldman Sachs faces lawsuit over deal disclosures,replay
e27,Exxon profit rises on higher oil prices,replay
e28,Chevron halts buybacks amid weak refining margins,replay
e29,Moderna plunges after vaccine trial setback,replay
e30,Alphabet ad revenue beats as search stays strong,replay
e31,Markets mixed as investors await Fed decision,replay
e32,Stocks drift lower in quiet holiday trading,replay
e33,Apple and Microsoft both hit record highs,replay
e34,Tesla recall and Boeing probe weigh on industrials,replay
e35,Bullish sentiment lifts tech as Nvidia leads gains,replay
e36,Bearish mood deepens as bank stocks tumble,replay
r37,Energy sector rises as crude rebounds,replay
r38,Retailers warn of soft consumer spending,replay
r39,Semiconductor rally broadens to equipment makers,replay
r40,Airlines drop on rising fuel cost fears,replay
